P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
Kepler-130 b,Transit,Kepler,2014,1.04,M-R relationship,1.02,8.457458,0.079,0.15,88.36,,Kepler-130,,11.572,316.663,5884.0,0.93,1.13,-0.199,5.89,0.198,4.3,1.0097563,1.0196078,0.99961553,0.98001523,0.00069718504,0.07988875,0.06715,0.09085,0.079223845,255.67451,1014.3124,1145.5065,Terran,G,1.5776113,3.3912809,2.3757447,0.46925082,0,0,Hot,0,0.29836806,0
Kepler-62 d,Transit,Kepler,2013,14.0,Mass,1.95,18.16406,0.12,0.0,89.7,,Kepler-62,K2 V,13.965,300.874,4925.0,0.69,0.64,-0.37,7.0,-0.678,4.68,2.6794565,7.1794872,3.6817883,1.8880966,0.0032738553,0.12,0.12,0.12,0.12,14.575971,497.7475,562.12759,Superterran,K,0.20989399,1.2369831,0.41405817,0.43721079,0,0,Hot,0,0.34296602,0
Kepler-454 d,Radial Velocity,Roque de los Muchachos Observatory,2023,734.18362,Msini,13.3,4073.0,5.1,0.089,,117.0,Kepler-454,,11.567,230.869,5687.0,1.03,1.07,0.32,5.25,0.032,4.4,7.4297898,55.201776,4.1505095,0.31206838,0.41514163,5.1201985,4.6461,5.5539,5.1050628,0.041551482,114.84158,,Jovian,G,1.0764652,2.8013267,1.752263,0.47628159,0,0,Cold,0,0.10931732,0
Kepler-113 b,Transit,Kepler,2014,11.7,Mass,1.82,4.754,0.051194,0.0,86.54,,Kepler-113,,13.655,262.351,4725.0,0.75,0.69,0.05,6.89,-0.576,4.64,2.5354628,6.4285714,3.5321821,1.9407594,0.0012795164,0.051194,0.051194,0.051194,0.051194,101.2889,808.14665,912.67465,Superterran,K,0.26546056,1.3911173,0.30193154,0.44834789,0,0,Hot,0,0.27687123,0
Kepler-22 b,Transit,Kepler,2011,9.1,Mass,2.1,289.86388,0.812,0.72,89.764,,Kepler-22,G5 V,11.751,194.642,5596.0,0.86,0.87,-0.255,7.0,-0.19,4.44,2.081666,4.3333333,2.0634921,0.98261527,0.004992832,1.0224704,0.22736,1.39664,0.87673059,1.4110575,243.87463,275.41808,Superterran,G,0.64565423,2.1695205,1.4112034,0.47051557,1,1,Warm,2,0.7216326,1
KMT-2018-BLG-0087L b,Microlensing,KMTNet,2022,73.10053,Mass,10.1,,0.87,,,,KMT-2018-BLG-0087L,,,7020.0,,0.1,,,,,,2.690293,7.2376762,0.71660161,0.070950654,0.078393131,0.87,0.87,0.87,0.87,,,,Jovian,,,,,0.21413342,0,0,,0,,0
Kepler-1017 b,Transit,Kepler,2016,4.62,M-R relationship,1.99,7.2340047,0.0702,0.0,89.93,,Kepler-1017,,14.315,552.058,5473.0,0.93,0.87,0.04,2.95,-0.161,4.53,1.5236824,2.321608,1.1666372,0.58624985,0.0011981431,0.0702,0.0702,0.0702,0.0702,140.06376,876.35719,989.70774,Superterran,G,0.6902398,2.2431781,1.1725876,0.41817316,0,0,Hot,0,0.26465156,0
Kepler-1018 b,Transit,Kepler,2016,7.18,M-R relationship,2.58,49.101351,0.253,0.0,89.43,,Kepler-1018,,15.103,1010.01,5518.0,0.91,0.88,-0.05,4.47,-0.082,4.52,1.6682163,2.7829457,1.0786611,0.41808571,0.0050381,0.253,0.253,0.253,0.253,12.934777,483.10268,,Neptunian,G,0.82794216,2.4567658,1.2576894,0.44492815,0,0,Hot,0,0.31870355,0
HIP 35173 b,Radial Velocity,Las Campanas Observatory,2019,12.7,Msini,3.61,41.516,0.217,0.16,,10.73,HIP 35173,K2 V,9.01,33.1562,4881.0,0.79,0.77,,,-0.514,4.52,1.8756347,3.5180055,0.97451677,0.26994924,0.0046016807,0.2197776,0.18228,0.25172,0.2177003,6.5873675,406.13479,,Neptunian,K,0.30619634,1.4940453,0.40162879,0.42647491,0,0,Hot,0,0.34317868,0
Kepler-856 b,Transit,Kepler,2016,63.3,M-R relationship,9.3,8.0276806,0.0787,0.0,88.52,,Kepler-856,,15.594,1351.17,5535.0,0.96,0.93,0.12,4.27,-0.022,4.49,2.6089177,6.8064516,0.73187652,0.0786964,0.0031803199,0.0787,0.0787,0.0787,0.0787,153.47956,896.6281,,Jovian,G,0.95060479,2.632472,1.3182588,0.44948986,0,0,Hot,0,0.09899265,0
